거래시간,종목코드,현재가,상승확률(%),기대수익,예상손실,손익비,주문수량,주문종류,주문결과,상증확률(%)
2025-07-16 14:32:25.516990,90430.0,134100.0,82.0,6718.05,6935.31,1.17,6.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 14:32:29.291063,34950.0,100300.0,84.0,3918.98,3342.18,1.17,72.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 14:42:44.372441,14830.0,88200.0,73.0,5919.22,5839.34,1.23,16.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 14:42:48.150357,90430.0,134100.0,80.0,8912.45,6352.7,1.23,18.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 14:42:51.874154,34950.0,100100.0,86.0,4374.03,3543.58,1.23,11.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 14:53:06.981664,90430.0,134100.0,79.0,6862.52,6749.39,1.54,17.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 14:53:10.721855,34950.0,100500.0,92.0,4546.43,2952.49,1.54,54.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 15:03:25.807808,14830.0,87900.0,76.0,6987.43,5149.64,1.19,22.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 15:03:29.529429,90430.0,134700.0,83.0,8537.22,6718.35,1.19,6.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 15:03:33.269631,34950.0,100300.0,86.0,4151.07,3495.45,1.19,60.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 15:13:48.335012,14830.0,87900.0,73.0,5093.26,6658.46,1.71,36.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 15:13:52.077640,90430.0,134700.0,74.0,8020.81,8337.15,1.71,16.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 15:13:55.868075,34950.0,100400.0,86.0,5025.87,2935.4,1.71,80.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 15:24:10.868572,14830.0,87800.0,73.0,5331.39,5825.06,1.58,13.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 15:24:14.598614,90430.0,135100.0,74.0,6650.76,7247.03,1.58,4.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-16 15:24:18.359102,34950.0,100400.0,88.0,4907.64,3101.53,1.58,20.0,매도,모의투자 매도주문이 완료 되었습니다.,
2025-07-16 15:34:33.420940,14830.0,88000.0,80.0,5983.79,4928.45,1.32,25.0,매수,모의투자 장종료 입니다.,
2025-07-16 15:34:37.179826,90430.0,135000.0,76.0,7651.64,8181.71,1.32,5.0,매도,모의투자 장종료 입니다.,
2025-07-16 15:34:40.916338,34950.0,100500.0,86.0,4333.36,3283.08,1.32,34.0,매도,모의투자 장종료 입니다.,
2025-07-16 15:44:55.912520,14830.0,88000.0,75.0,6454.59,5246.39,1.54,13.0,매수,모의투자 장종료 입니다.,
2025-07-16 15:44:59.627026,90430.0,135000.0,85.0,8816.16,7681.49,1.54,1.0,매수,모의투자 장종료 입니다.,
2025-07-16 15:45:03.379706,34950.0,100500.0,87.0,4445.65,2880.41,1.54,13.0,매도,모의투자 장종료 입니다.,
2025-07-16 15:55:18.464974,14830.0,88000.0,80.0,5700.35,5924.6,2.08,9.0,매도,모의투자 장종료 입니다.,
2025-07-16 15:55:22.213325,90430.0,135000.0,83.0,8904.35,6681.5,2.08,8.0,매수,모의투자 장종료 입니다.,
2025-07-16 15:55:25.943664,34950.0,100500.0,92.0,5323.49,2564.49,2.08,36.0,매수,모의투자 장종료 입니다.,
2025-07-16 16:05:40.896029,14830.0,88000.0,77.0,5045.4,4624.28,1.25,18.0,매수,모의투자 장종료 입니다.,
2025-07-16 16:05:44.614978,90430.0,135000.0,81.0,8441.67,6478.0,1.25,18.0,매수,모의투자 장종료 입니다.,
2025-07-16 16:05:48.321143,34950.0,100500.0,82.0,4526.78,3611.01,1.25,54.0,매도,모의투자 장종료 입니다.,
2025-07-16 16:16:03.411214,14830.0,88000.0,75.0,5421.93,5824.41,1.24,2.0,매수,모의투자 장종료 입니다.,
2025-07-16 16:16:07.175845,90430.0,135000.0,77.0,8690.4,7746.11,1.24,7.0,매수,모의투자 장종료 입니다.,
2025-07-16 16:16:10.906536,34950.0,100500.0,91.0,4314.17,3491.01,1.24,42.0,매도,모의투자 장종료 입니다.,
2025-07-16 16:26:25.940367,14830.0,88000.0,70.0,4963.32,6484.38,1.59,14.0,매도,모의투자 장종료 입니다.,
2025-07-16 16:26:29.665640,90430.0,135000.0,78.0,8662.17,6757.74,1.59,15.0,매수,모의투자 장종료 입니다.,
2025-07-16 16:26:33.465091,34950.0,100500.0,86.0,4468.27,2802.85,1.59,7.0,매수,모의투자 장종료 입니다.,
2025-07-16 16:36:48.464898,14830.0,88000.0,73.0,4698.64,5862.1,1.53,7.0,매도,모의투자 장종료 입니다.,
2025-07-16 16:36:52.253025,90430.0,135000.0,79.0,8289.49,7202.01,1.53,8.0,매수,모의투자 장종료 입니다.,
2025-07-16 16:36:56.006729,34950.0,100500.0,86.0,5009.5,3278.32,1.53,16.0,매도,모의투자 장종료 입니다.,
2025-07-16 16:47:11.081674,14830.0,88000.0,81.0,5753.42,5601.63,1.68,4.0,매수,모의투자 장종료 입니다.,
2025-07-16 16:47:14.802126,90430.0,135000.0,82.0,6977.58,7499.21,1.68,3.0,매도,모의투자 장종료 입니다.,
